IFID,pairID,Relation,ClusterID,CFID,SpaceGroup,CrystForm,PdbID,DomainInterfaceID,SurfaceArea,InterfaceUnit,ChainPfamArch,InAsu,InPdb,InPisa,ASU,PDBBA,PDBBAID,PISABA,PISABAID,UnpCode,#CfgCluster,#EntryCluster,MinSeqIdentity,#CfgRelation,#EntryRelation,#EntryHomo,#EntryHetero,#EntryIntra,ClusterInterface,MediumSurfaceArea,Name,Species,chainA,chainB
IF813,(AdenylateSensor)(AMPKBI),1509,1,12,P 1 21 1,A2B2C2(1),4cff,3,911.7,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,A2B2C2,ABC,1,ABC,1,AAKB1_HUMAN;AAPK2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT BETA-1, AMPKB;AMPK SUBUNIT ALPHA-2, ACETYL-COA CARBOXYLASE KINASE, ACACA KINASE, HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE, HMGCR KINASE",HOMO SAPIENS;HOMO SAPIENS,B,A
IF847,(AdenylateSensor)(AMPKBI),1509,1,15,P 41 21 2,ABCD,4cfh,2,931.3,AB,(AMPKBI);(Pkinase)_(UBA_2)_(AdenylateSensor),1,1,1,ABCD,ABCD,1,ABCD,1,AAKB2_HUMAN;AAPK1_RAT,,,,,,,,,,,5''-AMP-ACTIVATED PROTEIN KINASE SUBUNIT BETA-2;AMPK SUBUNIT ALPHA-1,HOMO SAPIENS;RATTUS NORVEGICUS,B,A
IF825,(AdenylateSensor)(AMPKBI),1509,1,8,C 2 2 21,ABC,4eag,1,1362.15,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,O18645_DROME;AAKB1_RAT,,,,,,,,,,,"FI03728P, SNF1A/AMP-ACTIVATED PROTEIN KINASE, SNF1A/AMP-ACTIVATED PROTEIN KINASE, ISOFORM A, SNF1A/AMP-ACTIVATED PROTEIN KINASE, ISOFORM B, SNF1A/AMP-ACTIVATED PROTEIN KINASE, ISOFORM C;AMPK SUBUNIT BETA-1, AMPKB, 5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT",Drosophila melanogaster;Rattus norvegicus,A,B
IF823,(AdenylateSensor)(AMPKBI),1509,1,9,P 21 21 2,ABC,4eai,1,1488.55,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPK SUBUNIT BETA-2",Rattus norvegicus;Homo sapiens,A,B
IF824,(AdenylateSensor)(AMPKBI),1509,1,9,P 21 21 2,ABC,4eaj,1,1467.4,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPK SUBUNIT BETA-2",Rattus norvegicus;Homo sapiens,A,B
IF821,(AdenylateSensor)(AMPKBI),1509,1,7,C 1 2 1,ABC,4eak,1,1078.85,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB1_RAT,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB,5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT",Rattus norvegicus;Rattus norvegicus,A,B
IF822,(AdenylateSensor)(AMPKBI),1509,1,7,C 1 2 1,ABC,4eal,1,1085.45,AB,(AdenylateSensor);(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_RAT;AAKB1_RAT,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB,5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT",Rattus norvegicus;Rattus norvegicus,A,B
IF820,(AdenylateSensor)(AMPKBI),1509,1,11,P 32 2 1,ABC(2),4rer,3,983.15,AB,(Pkinase)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,0,0,ABC,ABC,1,ABC,1,AAPK1_HUMAN;AAKB2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1, ACETYL-COA CARBOXYLASE KINASE, ACACA KINASE, HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE, HMGCR KINASE, TAU-PROTEIN KINASE PRKAA1;AMPK SUBUNIT BETA-2",Homo sapiens;Homo sapiens,B,A
IF819,(AdenylateSensor)(AMPKBI),1509,1,11,P 32 2 1,ABC(1),4rew,2,901.1,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,ABC,ABC,1,ABC,1,AAKB2_HUMAN;AAPK1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT BETA-2;AMPK SUBUNIT ALPHA-1, ACETYL-COA CARBOXYLASE KINASE, ACACA KINASE, HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE, HMGCR KINASE, TAU-PROTEIN KINASE PRKAA1",Homo sapiens;Homo sapiens,B,A
IF812,(AdenylateSensor)(AMPKBI),1509,1,12,P 1 21 1,A2B2C2(1),4zhx,3,966.6,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,A2B2C2,ABC,1,ABC,1,AAKB1_HUMAN;AAPK2_HUMAN,,,,,,,,,,,"AMPKB;AMPK SUBUNIT ALPHA-2,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE",Homo sapiens;Homo sapiens,B,A
IF815,(AdenylateSensor)(AMPKBI),1509,1,12,P 1 21 1,A2B2C2(1),5ezv,4,987.45,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,A2B2C2,ABC,1,ABC,1,AAKB1_HUMAN;AAPK2_HUMAN,,,,,,,,,,,"AMPKB;AMPK SUBUNIT ALPHA-2,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1",Homo sapiens;Homo sapiens,B,A
IF818,(AdenylateSensor)(AMPKBI),1509,1,12,P 1 21 1,A2B2C2(2),5iso,3,953,AB,(Pkinase)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,A2B2C2,ABC,1,ABC,1,AAPK2_HUMAN;AAKB1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-2,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE;AMPKB",Homo sapiens;Homo sapiens,B,A
IF801,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(1),5kq5,3,1292.25,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,ABC,ABC,1,A2B2C2,1,AAKB1_RAT;AAPK1_RAT,,,,,,,,,,,"AMPKB,5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT;AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1",Rattus norvegicus;Rattus norvegicus,B,A
IF802,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(1),5t5t,2,1307.5,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,0,1,ABC,ABC,1,A2B2C2,1,AAKB1_RAT;AAPK1_RAT,,,,,,,,,,,"AMPKB,5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT;AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1",Rattus norvegicus;Rattus norvegicus,B,A
IF803,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(1),5ufu,2,1245.8,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,0,1,ABC,ABC,1,A2B2C2,1,AAKB1_RAT;AAPK1_RAT,,,,,,,,,,,"AMPKB,5''-AMP-ACTIVATED PROTEIN KINASE 40 KDA SUBUNIT;AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1,AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1",Rattus norvegicus;Mus musculus,B,A
IF811,(AdenylateSensor)(AMPKBI),1509,1,12,P 1 21 1,A2B2C2(1),6b1u,3,991.15,AB,(AMPK1_CBM)_(AMPKBI);(Pkinase)_(AdenylateSensor),1,1,1,A2B2C2,ABC,1,ABC,1,AAKB1_HUMAN;AAPK2_HUMAN,,,,,,,,,,,"AMPKB;AMPK SUBUNIT ALPHA-2,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE",Homo sapiens;Homo sapiens,B,A
IF810,(AdenylateSensor)(AMPKBI),1509,1,13,P 21 21 21,ABC,6b2e,3,928.05,AB,(Pkinase)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,0,0,ABC,ABC,1,ABC,1,AAPK2_HUMAN;AAKB2_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-2,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE;AMPK SUBUNIT BETA-2",Homo sapiens;Homo sapiens,B,A
IF809,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(2),6c9f,3,1348.1,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,ABC,ABC,1,ABC,1,AAPK1_HUMAN;AAKB1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB",Homo sapiens;Homo sapiens,B,A
IF808,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(2),6c9g,3,1357.5,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,ABC,ABC,1,A2B2C2,1,AAPK1_HUMAN;AAKB1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB",Homo sapiens;Homo sapiens,B,A
IF800,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(1),6c9h,3,1386.8,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,ABC,ABC,1,A2B2C2,1,AAPK1_HUMAN;AAKB1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB",Homo sapiens;Homo sapiens,B,A
IF804,(AdenylateSensor)(AMPKBI),1509,1,14,P 61 2 2,ABC(1),6c9j,3,1306.2,AB,(Pkinase)_(UBA_2)_(AdenylateSensor);(AMPK1_CBM)_(AMPKBI),1,1,1,ABC,ABC,1,A2B2C2,1,AAPK1_HUMAN;AAKB1_HUMAN,,,,,,,,,,,"AMPK SUBUNIT ALPHA-1,ACETYL-COA CARBOXYLASE KINASE,ACACA KINASE,HYDROXYMETHYLGLUTARYL-COA REDUCTASE KINASE,HMGCR KINASE,TAU-PROTEIN KINASE PRKAA1;AMPKB",Homo sapiens;Homo sapiens,B,A
